X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-46.586275737,-23.6110712893069,3404,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3544103,RM São Paulo - SP,LAT
-46.585985363,-23.6111591413069,3405,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3543303,RM São Paulo - SP,LAT
-46.317519464,-23.5271907373088,3406,3552502_ETE_1,ETE Suzano,86699391,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3539806,RM São Paulo - SP,LAT
-46.848497885,-23.5113243433091,3407,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3534401,RM São Paulo - SP,LAT
-46.317645286,-23.5272967093087,3408,3552502_ETE_1,ETE Suzano,86699391,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3530607,RM São Paulo - SP,LAT
-46.585997839,-23.6112188753069,3409,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3529401,RM São Paulo - SP,LAT
-46.848831589,-23.5113107473091,3410,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3525003,RM São Paulo - SP,LAT
-46.44779022,-23.4842222403097,3411,3550308_ETE_5,ETE São Miguel - São Paulo,86699373,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3523107,RM São Paulo - SP,LAT
-46.317777791,-23.5274382783088,3412,3552502_ETE_1,ETE Suzano,86699391,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3523107,RM São Paulo - SP,LAT
-40.273701836,-20.2654801273862,3413,3205309_ETE_2,ETE Camburi,777195,0,Ativa,Sim (Vitória),Não,Lagoa Aerada + Lagoa de Decantação/Facultativa + Lagoa de Maturação, ,0,0.86000001,0,0,3205002,RM Grande Vitória - ES,LAG
