ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
411995;PONTAL DO PARANA;13754;14775;28529;0,482105927;0,517894073
330040;BARRA MANSA;89304;95933;185237;0,482106707;0,517893293
220735;PAJEU DO PIAUI;1647;1769;3416;0,482142857;0,517857143
354140;PRESIDENTE PRUDENTE;111836;120117;231953;0,482149401;0,517850599
410110;ANDIRA;9558;10265;19823;0,48216718;0,51783282
350950;CAMPINAS;589827;633410;1223237;0,482185382;0,517814618
220750;PALMEIRAIS;7056;7577;14633;0,482197772;0,517802228
251380;SANTA TERESINHA;2194;2356;4550;0,482197802;0,517802198
431340;NOVO HAMBURGO;119249;128054;247303;0,482197952;0,517802048
221097;TANQUE DO PIAUI;1341;1440;2781;0,482200647;0,517799353
311940;CORONEL FABRICIANO;53390;57319;110709;0,482255282;0,517744718
251130;PIANCO;7787;8360;16147;0,482256766;0,517743234
431750;SANTO ANGELO;37399;40145;77544;0,482293923;0,517706077
280210;ESTANCIA;33722;36197;69919;0,482300948;0,517699052
312270;DOM SILVERIO;2521;2706;5227;0,482303425;0,517696575
316870;TIMOTEO;44020;47248;91268;0,482315817;0,517684183
350570;BARUERI;134911;144793;279704;0,482334897;0,517665103
260460;CONDADO;12906;13849;26755;0,482377126;0,517622874
350530;BARRA BONITA;17426;18699;36125;0,482380623;0,517619377
292730;SALINAS DA MARGARIDA;7741;8306;16047;0,482395463;0,517604537
231120;POTENGI;5386;5779;11165;0,482400358;0,517599642
270310;IGACI;12348;13248;25596;0,482419128;0,517580872
430060;ALVORADA;102458;109894;212352;0,482491335;0,517508665
231310;TABULEIRO DO NORTE;15478;16601;32079;0,482496337;0,517503663
350320;ARARAQUARA;116061;124481;240542;0,482497859;0,517502141
220260;CASTELO DO PIAUI;9513;10203;19716;0,482501522;0,517498478
431100;JAGUARAO;12703;13624;26327;0,482508451;0,517491549
431303;NOVA ESPERANCA DO SUL;2637;2828;5465;0,48252516;0,51747484
261370;SAO LOURENCO DA MATA;55447;59463;114910;0,482525455;0,517474545
251593;SERTAOZINHO;2486;2666;5152;0,482531056;0,517468944
240570;JARDIM DO SERIDO;5982;6415;12397;0,482536097;0,517463903
313960;MANTENA;13344;14307;27651;0,482586525;0,517413475
317130;VICOSA;38565;41345;79910;0,482605431;0,517394569
354910;SAO JOAO DA BOA VISTA;44553;47762;92315;0,482619293;0,517380707
316160;SAO GERALDO DA PIEDADE;1863;1997;3860;0,482642487;0,517357513
330245;MACUCO;2725;2921;5646;0,482642579;0,517357421
352042;ILHA COMPRIDA;5576;5976;11552;0,482686981;0,517313019
330414;QUEIMADOS;73519;78792;152311;0,482690022;0,517309978
250540;DESTERRO;4022;4310;8332;0,482717235;0,517282765
314330;MONTES CLAROS;201525;215953;417478;0,482720048;0,517279952
291630;ITAPEBI;4911;5262;10173;0,482748452;0,517251548
270860;SAO MIGUEL DOS CAMPOS;30089;32239;62328;0,482752535;0,517247465
291960;MACAJUBA;5464;5854;11318;0,482770808;0,517229192
315750;SANTA EFIGENIA DE MINAS;2102;2252;4354;0,48277446;0,51722554
290400;BONINAL;7009;7509;14518;0,482779997;0,517220003
280290;ITABAIANA;46752;50087;96839;0,482780698;0,517219302
521580;PALMELO;1150;1232;2382;0,482787573;0,517212427
