CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,media_notas_CN,media_notas_CH,media_NU_NOTA_LC,media_NU_NOTA_MT,media_NU_NOTA_REDACAO
317047,31,MG,423.8,461.35,497.7,417.5,430
317050,31,MG,409.933333333333,477.083333333333,401.066666666667,437.6,520
317052,31,MG,397.65,481.966666666667,489.033333333333,509.85,433.333333333333
317057,31,MG,459.916666666667,492.053846153846,504.084615384615,515.2,586.153846153846
317060,31,MG,497.05,570.183333333333,522.966666666667,544.183333333333,616.666666666667
317065,31,MG,451.957142857143,485.114285714286,465.3,452.2,620
317070,31,MG,522.628017241379,558.256631578947,540.781473684211,598.790948275862,713.431578947368
317075,31,MG,445.735714285714,422.95,452.092857142857,514.378571428571,504.285714285714
317080,31,MG,461.765573770492,494.012307692308,485.58,504.072131147541,548.923076923077
317090,31,MG,458.245,474.97,450.775,490.415,540
317100,31,MG,493.001587301587,520.330303030303,510.621212121212,546.807936507936,648.181818181818
317103,31,MG,444.471428571429,428.71,427.56,471.228571428572,320
317107,31,MG,484.975,587.275,495.65,547.375,650
317110,31,MG,450.1,451.65,460.15,425.5,530
317115,31,MG,450.769230769231,489.223076923077,486.792307692308,546.376923076923,621.538461538462
317120,31,MG,481.816091954023,513.095263157895,503.764210526316,530.622413793103,592
317130,31,MG,558.899801192843,582.276070038911,552.942607003891,638.941749502982,755.758754863813
317140,31,MG,450.05,426.48,483.02,527.975,488
317150,31,MG,465.2,451.95,441.5,425.45,470
317160,31,MG,470.591666666667,512.591666666667,479.433333333333,520.783333333333,586.666666666667
317170,31,MG,521.4,521.033333333333,548.1,581.8,406.666666666667
317180,31,MG,449.78,551.76,523.82,529.18,616
317190,31,MG,437.453846153846,448.838461538462,460.215384615385,481.861538461538,600
317200,31,MG,503.591588785047,517.215315315315,510.621621621622,557.847663551402,646.846846846847
317210,31,MG,447.225,445.775,406.025,434.925,475
317220,31,MG,461.630769230769,502.521428571429,475.75,504.976923076923,560
320010,32,ES,478.494230769231,496.227777777778,475.933333333333,520.813461538462,592.222222222222
320013,32,ES,433.125,466.965,436.425,499.47,571
320016,32,ES,461.665384615385,480.239285714286,478.85,508.534615384615,495
320020,32,ES,502.265402843602,524.245794392523,499.123831775701,539.436018957346,642.897196261682
320030,32,ES,485.833333333333,502.133333333333,479.933333333333,525.644444444444,550
320035,32,ES,440.969565217391,467.9,464.458333333333,496.078260869565,527.5
320040,32,ES,478.296825396825,502.384848484849,487.35,520.256349206349,605.757575757576
320050,32,ES,449.057142857143,488.057142857143,438.885714285714,451.885714285714,554.285714285714
320060,32,ES,512.007532467533,532.674698795181,514.547951807229,566.348571428571,646.939759036145
320070,32,ES,447.135714285714,475.843333333333,473.646666666667,504.714285714286,556
320080,32,ES,482.77375,519.197590361446,503.940963855422,548.84,619.518072289157
320090,32,ES,473.658823529412,500.832075471698,484.168867924528,519.843137254902,545.849056603774
320100,32,ES,474.9425,486.827906976744,468.260465116279,510.2525,530.697674418605
320110,32,ES,622.6,667.2,608.4,697.5,840
320115,32,ES,475.841176470588,503.725,486.033333333333,512.552941176471,600
320120,32,ES,506.598618090452,522.186889153755,508.287246722288,564.803015075377,655.947556615018
320130,32,ES,481.278925184405,507.862031558185,496.141617357002,531.034773445732,586.5483234714
320140,32,ES,494.339534883721,521.897727272727,497.667045454546,549.536046511628,642.272727272727
320150,32,ES,514.29873015873,532.182195845697,514.721810089021,568.87,648.6646884273
320160,32,ES,444.995890410959,460.068,461.608,479.445205479452,504.8
320170,32,ES,480.5,494.682926829268,481.241463414634,522.9975,594.146341463415
320180,32,ES,444.036363636364,476.523076923077,459.084615384615,471.118181818182,487.692307692308
320190,32,ES,490.204022988506,508.96312849162,489.068715083799,524.236206896552,655.418994413408
320200,32,ES,491.238095238095,489.622727272727,470.322727272727,497.080952380952,519.090909090909
320210,32,ES,463.376388888889,500.054666666667,486.981333333333,501.529166666667,588.8
320220,32,ES,468.182608695652,491.245833333333,487.683333333333,514.904347826087,563.333333333333
320225,32,ES,514.833333333333,523.480769230769,501.042307692308,547.4125,603.846153846154
320230,32,ES,500.115053763441,516.411340206186,496.584536082474,558.101075268817,617.938144329897
320240,32,ES,513.095033860045,541.17494600432,527.026133909287,567.981038374718,640.561555075594
320245,32,ES,524.862385321101,541.581415929204,521.19203539823,563.422018348624,660.70796460177
320250,32,ES,451.844444444444,485.236842105263,463.81052631579,484.588888888889,508.421052631579
320255,32,ES,472.062962962963,486.955172413793,458.379310344828,498.692592592593,517.241379310345
320260,32,ES,488.296153846154,509.101886792453,483.711320754717,511.813461538462,636.22641509434
320265,32,ES,450.952941176471,471.430952380952,468.964285714286,503.076470588235,584.761904761905
320270,32,ES,477.447368421053,488.9,479.6475,508.228947368421,539
320280,32,ES,465.6,467.244186046512,471.751162790698,495.51686746988,547.441860465116
320290,32,ES,471.496296296296,500.233333333333,481.72962962963,535.681481481482,648.888888888889
320300,32,ES,480.484705882353,500.457142857143,485.120879120879,522.161176470588,569.010989010989
320305,32,ES,486.216901408451,494.219178082192,491.828767123288,518.270422535211,589.041095890411
320310,32,ES,453.581818181818,501.909090909091,475.918181818182,526.636363636364,543.636363636364
320313,32,ES,471.527777777778,486.747368421053,466.968421052632,499.694444444445,565.263157894737
320316,32,ES,476.649056603774,502.254385964912,479.929824561404,522.415094339623,565.964912280702
320320,32,ES,498.10465890183,519.826038338658,504.861182108626,549.0231281198,650.830670926518
